chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
6252,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__clinical-p__39b000.html,,project_output\05_extraction\NTV__busca1__crossr__clinical-p__39b000.txt,False
6233,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__position-s__e0b02d.pdf,,project_output\05_extraction\NTV__busca1__europe__position-s__e0b02d.txt,False
52455,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__impact-of-__bec98f.pdf,,project_output\05_extraction\NTV__busca1__europe__impact-of-__bec98f.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__endorsemen__066bd2.html,,project_output\05_extraction\NTV__busca1__crossr__endorsemen__066bd2.txt,False
7587,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__clinical-p__5ff08b.pdf,,project_output\05_extraction\NTV__busca1__crossr__clinical-p__5ff08b.txt,False
91,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__position-s__771e4f.html,,project_output\05_extraction\NTV__busca1__europe__position-s__771e4f.txt,False
21703,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__randomized__5d8252.html,,project_output\05_extraction\NTV__busca1__openal__randomized__5d8252.txt,False
93705,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__the-effect__f859b1.pdf,,project_output\05_extraction\NTV__busca1__europe__the-effect__f859b1.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__weight-los__1cb5a0.html,,project_output\05_extraction\NTV__busca1__europe__weight-los__1cb5a0.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__self-effic__1462bb.html,,project_output\05_extraction\NTV__busca1__openal__self-effic__1462bb.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__lower-body__c19052.html,,project_output\05_extraction\NTV__busca1__pubmed__lower-body__c19052.txt,False
40592,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__physiopath__3d4b6d.pdf,,project_output\05_extraction\NTV__busca1__pubmed__physiopath__3d4b6d.txt,False
73195,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__prevalence__cebe23.pdf,,project_output\05_extraction\NTV__busca1__pubmed__prevalence__cebe23.txt,False
13509,doc,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__digital-in__3db7dd.doc,,project_output\05_extraction\NTV__busca1__pubmed__digital-in__3db7dd.txt,False
68748,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__metabolomi__0e0a76.html,,project_output\05_extraction\NTV__busca1__pubmed__metabolomi__0e0a76.txt,False
19769,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__risk-facto__b334f8.html,,project_output\05_extraction\NTV__busca1__pubmed__risk-facto__b334f8.txt,False
90616,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__waist-circ__dc0941.pdf,,project_output\05_extraction\NTV__busca1__openal__waist-circ__dc0941.txt,False
46646,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__adherence-__4e4f26.pdf,,project_output\05_extraction\NTV__busca1__europe__adherence-__4e4f26.txt,False
6100,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effectiven__c396f2.pdf,,project_output\05_extraction\NTV__busca1__pubmed__effectiven__c396f2.txt,False
49596,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__enhancing-__86349b.html,,project_output\05_extraction\NTV__busca1__pubmed__enhancing-__86349b.txt,False
63426,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__improvemen__8667e6.pdf,,project_output\05_extraction\NTV__busca1__openal__improvemen__8667e6.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__white-kidn__58a701.html,,project_output\05_extraction\NTV__busca1__europe__white-kidn__58a701.txt,False
62617,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__associatio__28a955.pdf,,project_output\05_extraction\NTV__busca1__europe__associatio__28a955.txt,False
61481,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__effects-of__f7f289.pdf,,project_output\05_extraction\NTV__busca1__europe__effects-of__f7f289.txt,False
617051,doc,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effectiven__2036b5.doc,,project_output\05_extraction\NTV__busca1__pubmed__effectiven__2036b5.txt,False
34775,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__web-based-__9073f4.pdf,,project_output\05_extraction\NTV__busca1__openal__web-based-__9073f4.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__obesity-in__5d8ec9.html,,project_output\05_extraction\NTV__busca1__openal__obesity-in__5d8ec9.txt,False
110871,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__conquering__481687.html,,project_output\05_extraction\NTV__busca1__pubmed__conquering__481687.txt,False
44771,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__plant-base__5fbef5.html,,project_output\05_extraction\NTV__busca1__pubmed__plant-base__5fbef5.txt,False
41186,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__effect-of-__1e84a4.pdf,,project_output\05_extraction\NTV__busca1__pubmed__effect-of-__1e84a4.txt,False
67641,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__randomized__a8b4de.pdf,,project_output\05_extraction\NTV__busca1__pubmed__randomized__a8b4de.txt,False
